Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09838949888944626,0.09881725557944816,0.09838949888944626,0.09838949888944626,469033600
1980-12-15,0.09325645118951797,0.09368420784557524,0.09325645118951797,0.09368420784557524,175884800
1980-12-16,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08683936860447428,105728000
1980-12-17,0.0885503739118576,0.0889781304844495,0.0885503739118576,0.0885503739118576,86441600
1980-12-18,0.09111765772104263,0.09154540853733958,0.09111765772104263,0.09111765772104263,73449600
1980-12-19,0.09667845815420151,0.09710621473182823,0.09667845815420151,0.09667845815420151,48630400
1980-12-22,0.10138377547264099,0.10181229746564736,0.10138377547264099,0.10138377547264099,37363200
1980-12-23,0.10566210001707077,0.1060898567789278,0.10566210001707077,0.10566210001707077,46950400
1980-12-24,0.11122287064790726,0.11165062728283155,0.11122287064790726,0.11122287064790726,48003200
1980-12-26,0.12148978561162949,0.12191754245401838,0.12148978561162949,0.12148978561162949,55574400
1980-12-29,0.12320075929164886,0.12362851598728707,0.12320075929164886,0.12320075929164886,93161600
1980-12-30,0.12020646780729294,0.12063421301780831,0.12020646780729294,0.12063421301780831,68880000
1980-12-31,0.11678445339202881,0.11721221008342914,0.11678445339202881,0.11721221008342914,35750400
1981-01-02,0.11806770414113998,0.1189232174666824,0.11806770414113998,0.11806770414113998,21660800
1981-01-05,0.11550113558769226,0.11592888063703626,0.11550113558769225,0.11592888063703626,35728000
1981-01-06,0.1103672906756401,0.1107950470520423,0.1103672906756401,0.1107950470520423,45158400
1981-01-07,0.10566210001707077,0.1060898567789278,0.10566210001707077,0.1060898567789278,55686400
1981-01-08,0.10352330654859543,0.1039510517531537,0.10352330654859543,0.1039510517531537,39827200
1981-01-09,0.10908406227827072,0.10951181876960311,0.10908406227827072,0.10908406227827072,21504000
1981-01-12,0.10822860896587372,0.10908411090692886,0.10822860896587372,0.10908411090692886,23699200
1981-01-13,0.10437877476215363,0.10480653125192703,0.10437877476215363,0.10480653125192703,23049600
1981-01-14,0.1048065796494484,0.10523433633675103,0.1048065796494484,0.1048065796494484,14291200
1981-01-15,0.10694538801908493,0.10780089026152893,0.10694538801908493,0.10694538801908493,14067200
1981-01-16,0.10608984529972076,0.10651760201529334,0.10608984529972076,0.10651760201529334,13395200
1981-01-19,0.11250613629817963,0.11293389296035904,0.11250613629817963,0.11250613629817963,41574400
1981-01-20,0.10908406227827072,0.10951181876960311,0.10908406227827072,0.10951181876960311,30083200
1981-01-21,0.11122287064790726,0.11207837249476776,0.11122287064790726,0.11122287064790726,15904000
1981-01-22,0.11250613629817963,0.11336164962253846,0.11250613629817963,0.11250613629817963,35548800
1981-01-23,0.11207835376262665,0.11293386688948961,0.11207835376262665,0.11250611032605813,11222400
1981-01-26,0.1103672906756401,0.1107950470520423,0.1103672906756401,0.1107950470520423,24640000
1981-01-27,0.10951181501150131,0.11036731654182369,0.10951181501150131,0.11036731654182369,23699200
1981-01-28,0.10608984529972076,0.10651760201529334,0.10608984529972076,0.10651760201529334,28156800
1981-01-29,0.10224003344774246,0.10266779006182411,0.10224003344774246,0.10266779006182411,43904000
1981-01-30,0.09667845815420151,0.09753397130945496,0.09667845815420151,0.09753397130945496,46188800
1981-02-02,0.09111765772104263,0.09154540853733958,0.09111765772104263,0.09154540853733958,23766400
1981-02-03,0.09453969448804855,0.09496744533778502,0.09453969448804855,0.09453969448804855,19152000
1981-02-04,0.09796173870563507,0.09838948390751394,0.09796173870563507,0.09796173870563507,27865600
1981-02-05,0.09796173870563507,0.09881724053238061,0.09796173870563507,0.09796173870563507,7929600
1981-02-06,0.09838949888944626,0.09881725557944816,0.09838949888944626,0.09838949888944626,13865600
1981-02-09,0.09325645118951797,0.09411195879013817,0.09325645118951797,0.09411195879013817,16755200
1981-02-10,0.09325645118951797,0.09368420784557524,0.09325645118951797,0.09325645118951797,18345600
1981-02-11,0.09026217460632324,0.09068992553744276,0.09026217460632324,0.09068992553744276,13843200
1981-02-12,0.08940586447715759,0.08983438630898972,0.08940586447715759,0.08983438630898972,14560000
1981-02-13,0.08726710826158524,0.08812261562316763,0.08726710826158524,0.08812261562316763,11155200
1981-02-17,0.08940586447715759,0.08983438630898972,0.08940586447715759,0.08940586447715759,12275200
1981-02-18,0.09325645118951797,0.09411195879013817,0.09325645118951797,0.09325645118951797,19241600
1981-02-19,0.08769486099481583,0.0881226175406611,0.08769486099481583,0.0881226175406611,22310400
1981-02-20,0.08298959583044052,0.08341735249262425,0.08298959583044052,0.08341735249262425,24371200
1981-02-23,0.08427287638187408,0.08470063315566502,0.08427287638187408,0.08427287638187408,14112000
1981-02-24,0.08127859979867935,0.08213410761358103,0.08127859979867935,0.08213410761358103,16979200
1981-02-25,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08641161769628525,19488000
1981-02-26,0.08769486099481583,0.0881226175406611,0.08769486099481583,0.08769486099481583,10841600
1981-02-27,0.09068991243839264,0.09154541988855823,0.09068991243839264,0.09068991243839264,14761600
1981-03-02,0.09111765772104263,0.09154540853733958,0.09111765772104263,0.09111765772104263,11760000
1981-03-03,0.08983439952135086,0.09026215607614917,0.08983439952135086,0.09026215607614917,16172800
1981-03-04,0.08897818624973297,0.08940593737891603,0.08897818624973297,0.08940593737891603,13708800
1981-03-05,0.0885503739118576,0.0889781304844495,0.0885503739118576,0.0889781304844495,5376000
1981-03-06,0.08769486099481583,0.08855036837501352,0.08769486099481583,0.08855036837501352,11603200
1981-03-09,0.08085078001022339,0.08127853069826636,0.08085078001022339,0.08127853069826636,15321600
1981-03-10,0.07700027525424957,0.07742802619412946,0.07700027525424957,0.07742802619412946,28380800
1981-03-11,0.07400598376989365,0.07486149122174338,0.07400598376989365,0.07486149122174338,29859200
1981-03-12,0.07700027525424957,0.07742802619412946,0.07700027525424957,0.07700027525424957,59248000
1981-03-13,0.076144739985466,0.07657249076986455,0.076144739985466,0.07657249076986455,231302400
1981-03-16,0.07913978397846222,0.07999529126217057,0.07913978397846222,0.07913978397846222,37228800
1981-03-17,0.08298959583044052,0.08384510344331357,0.08298959583044052,0.08298959583044052,43747200
1981-03-18,0.08812262862920761,0.08897813611705457,0.08812262862920761,0.08812262862920761,36937600
1981-03-19,0.08726710826158524,0.08769485908663006,0.08726710826158524,0.08769485908663006,37811200
1981-03-20,0.08812262862920761,0.08897813611705457,0.08812262862920761,0.08812262862920761,14604800
1981-03-23,0.09154542535543442,0.09240093285668889,0.09154542535543442,0.09154542535543442,22019200
1981-03-24,0.09111765772104263,0.09154540853733958,0.09111765772104263,0.09154540853733958,28156800
1981-03-25,0.08940586447715759,0.0902621428008759,0.08940586447715759,0.0902621428008759,7056000
1981-03-26,0.08769486099481583,0.0881226175406611,0.08769486099481583,0.0881226175406611,12275200
1981-03-27,0.0847005546092987,0.08512830527492267,0.0847005546092987,0.08512830527492267,12252800
1981-03-30,0.0847005546092987,0.08555606165203723,0.0847005546092987,0.0847005546092987,9900800
1981-03-31,0.08384513109922409,0.08470063899428228,0.08384513109922409,0.08470063899428228,15993600
1981-04-01,0.08298959583044052,0.08341735249262425,0.08298959583044052,0.08341735249262425,34070400
1981-04-02,0.09026217460632324,0.09068992553744276,0.09026217460632324,0.09026217460632324,31404800
1981-04-03,0.09068991243839264,0.0911176690192221,0.09068991243839264,0.09068991243839264,16486400
1981-04-06,0.08897818624973297,0.08940593737891603,0.08897818624973297,0.08940593737891603,22803200
1981-04-07,0.08812262862920761,0.0885503795173843,0.08812262862920761,0.0885503795173843,10684800
1981-04-08,0.09240096062421799,0.09325646838256217,0.09240096062421799,0.09240096062421799,21952000
1981-04-09,0.09411192685365677,0.09453968336455668,0.09411192685365677,0.09411192685365677,12499200
1981-04-10,0.09539522975683212,0.09582298073148268,0.09539522975683212,0.09539522975683212,33465600
1981-04-13,0.09539522975683212,0.09582298073148268,0.09539522975683212,0.09539522975683212,16060800
1981-04-14,0.09539522975683212,0.09582298073148268,0.09539522975683212,0.09539522975683212,6652800
1981-04-15,0.09068991243839264,0.0911176690192221,0.09068991243839264,0.0911176690192221,34048000
1981-04-16,0.08555609732866287,0.0859838481726576,0.08555609732866287,0.0859838481726576,23878400
1981-04-20,0.08812262862920761,0.0885503795173843,0.08812262862920761,0.08812262862920761,35347200
1981-04-21,0.09411192685365677,0.09453968336455668,0.09411192685365677,0.09411192685365677,28537600
1981-04-22,0.09753398597240448,0.09796174261433878,0.09753398597240448,0.09753398597240448,18995200
1981-04-23,0.10010048002004623,0.10052823656387483,0.10010048002004623,0.10010048002004623,58016000
1981-04-24,0.09924498200416565,0.10010048370029011,0.09924498200416565,0.10010048370029011,35056000
1981-04-27,0.09838949888944626,0.09881725557944816,0.09838949888944626,0.09881725557944816,38528000
1981-04-28,0.09667845815420151,0.09710621473182823,0.09667845815420151,0.09710621473182823,32188800
1981-04-29,0.09539522975683212,0.09582298073148268,0.09539522975683212,0.09582298073148268,13641600
1981-04-30,0.0971062034368515,0.09796171649259534,0.0971062034368515,0.0971062034368515,12611200
1981-05-01,0.0971062034368515,0.09796171649259534,0.0971062034368515,0.0971062034368515,16553600
1981-05-04,0.09667845815420151,0.09710621473182823,0.09667845815420151,0.09710621473182823,14448000
1981-05-05,0.0962507352232933,0.09667848047669735,0.0962507352232933,0.09667848047669735,17539200
1981-05-06,0.09368419647216797,0.09411194736480129,0.09368419647216797,0.09411194736480129,18950400
1981-05-07,0.09496747702360153,0.09539523372755171,0.09496747702360153,0.09496747702360153,9363200
